"Q1.0K0.1","Q1.0K0.15","Q1.0K0.2","Q1.0K0.25","Q1.0K0.3","Q1.0K0.4","Q1.0K0.5","Q1.5K0.05","Q1.5K0.1","Q1.5K0.15","Q1.5K0.2","Q1.5K0.25","Q1.5K0.3","Q1.5K0.4","Q1.5K0.5","Q2.0K0.05","Q2.0K0.1","Q2.0K0.15","Q2.0K0.2","Q2.0K0.25","Q2.0K0.3","Q2.0K0.4","Q2.0K0.5","Q2.5K0.05","Q2.5K0.1","Q2.5K0.15","Q2.5K0.2","Q2.5K0.25","Q2.5K0.3","Q2.5K0.4","Q2.5K0.5","Q3.0K0.05","Q3.0K0.1","Q3.0K0.15","Q3.0K0.2","Q3.0K0.25","Q3.0K0.3","Q3.0K0.4","Q3.0K0.5","Q3.5K0.05","Q3.5K0.1","Q3.5K0.15","Q3.5K0.2","Q3.5K0.25","Q3.5K0.3","Q3.5K0.4","Q3.5K0.5","Q4.0K0.05","Q4.0K0.1","Q4.0K0.15","Q4.0K0.2","Q4.0K0.25","Q4.0K0.3","Q4.0K0.4","Q4.0K0.5"
285.093,285.106,285.083,285.069,285.093,285.11,285.115,285.089,285.093,285.091,285.096,285.092,285.104,285.092,285.071,285.109,285.133,285.104,285.119,285.131,285.101,285.127,285.093,285.127,285.13,285.138,285.16,285.148,285.144,285.132,285.25,285.194,285.178,285.178,285.169,285.168,285.18,285.171,285.071,285.198,285.196,285.164,285.219,285.183,285.157,285.209,285.151,285.209,285.215,285.226,285.215,285.227,285.229,285.205,285.231
285.139,285.157,285.134,285.118,285.143,285.159,285.169,285.137,285.137,285.136,285.147,285.141,285.152,285.134,285.115,285.159,285.181,285.154,285.168,285.182,285.153,285.19,285.136,285.178,285.184,285.189,285.212,285.194,285.196,285.187,285.296,285.249,285.231,285.232,285.222,285.223,285.232,285.215,285.122,285.256,285.244,285.215,285.276,285.235,285.212,285.259,285.186,285.264,285.27,285.282,285.273,285.289,285.284,285.261,285.28
285.191,285.212,285.187,285.17,285.193,285.212,285.22,285.188,285.185,285.186,285.199,285.191,285.201,285.175,285.168,285.208,285.23,285.206,285.221,285.234,285.207,285.25,285.179,285.228,285.236,285.245,285.264,285.243,285.247,285.243,285.333,285.303,285.29,285.291,285.281,285.279,285.286,285.255,285.179,285.311,285.285,285.275,285.335,285.289,285.275,285.315,285.227,285.322,285.328,285.341,285.331,285.346,285.338,285.32,285.338
285.242,285.266,285.24,285.221,285.244,285.262,285.275,285.242,285.238,285.237,285.253,285.242,285.248,285.221,285.22,285.264,285.282,285.259,285.27,285.287,285.259,285.309,285.228,285.281,285.294,285.303,285.321,285.295,285.3,285.298,285.363,285.357,285.352,285.349,285.333,285.329,285.341,285.294,285.245,285.37,285.339,285.337,285.388,285.341,285.339,285.375,285.266,285.38,285.386,285.402,285.392,285.408,285.397,285.377,285.394
285.293,285.319,285.292,285.276,285.295,285.311,285.325,285.297,285.292,285.291,285.307,285.296,285.297,285.27,285.271,285.319,285.334,285.316,285.323,285.341,285.312,285.367,285.28,285.336,285.353,285.359,285.382,285.346,285.355,285.355,285.396,285.411,285.414,285.407,285.386,285.381,285.394,285.327,285.309,285.431,285.394,285.4,285.445,285.396,285.4,285.437,285.309,285.439,285.448,285.462,285.449,285.471,285.457,285.436,285.453
285.348,285.372,285.347,285.329,285.347,285.361,285.372,285.352,285.347,285.346,285.362,285.351,285.347,285.318,285.328,285.375,285.391,285.368,285.376,285.394,285.363,285.423,285.336,285.391,285.413,285.415,285.44,285.397,285.411,285.413,285.433,285.468,285.476,285.468,285.438,285.435,285.447,285.366,285.373,285.487,285.459,285.458,285.504,285.45,285.463,285.501,285.356,285.498,285.51,285.524,285.507,285.539,285.518,285.498,285.517
285.404,285.425,285.401,285.382,285.4,285.409,285.419,285.408,285.406,285.401,285.415,285.409,285.402,285.365,285.385,285.43,285.449,285.425,285.432,285.446,285.421,285.481,285.396,285.444,285.471,285.477,285.498,285.449,285.472,285.477,285.467,285.523,285.541,285.528,285.493,285.492,285.505,285.403,285.438,285.547,285.522,285.517,285.565,285.51,285.525,285.567,285.413,285.559,285.577,285.586,285.568,285.609,285.574,285.565,285.582
285.459,285.482,285.456,285.439,285.456,285.459,285.471,285.464,285.465,285.457,285.47,285.466,285.462,285.417,285.441,285.484,285.506,285.486,285.49,285.504,285.484,285.537,285.46,285.504,285.532,285.538,285.555,285.502,285.536,285.532,285.51,285.583,285.605,285.595,285.554,285.545,285.562,285.451,285.508,285.612,285.593,285.578,285.623,285.574,285.587,285.63,285.479,285.62,285.645,285.651,285.636,285.676,285.633,285.639,285.646
285.516,285.54,285.518,285.498,285.518,285.515,285.524,285.524,285.527,285.517,285.531,285.528,285.522,285.469,285.498,285.542,285.567,285.549,285.552,285.563,285.548,285.593,285.527,285.563,285.596,285.602,285.618,285.56,285.606,285.593,285.563,285.645,285.673,285.664,285.625,285.608,285.622,285.512,285.578,285.68,285.665,285.653,285.687,285.643,285.655,285.693,285.557,285.686,285.71,285.718,285.701,285.743,285.695,285.714,285.713
285.59,285.617,285.593,285.574,285.596,285.59,285.6,285.603,285.605,285.595,285.612,285.605,285.599,285.54,285.576,285.621,285.648,285.629,285.634,285.644,285.628,285.667,285.608,285.644,285.679,285.681,285.699,285.637,285.694,285.668,285.644,285.726,285.759,285.749,285.717,285.689,285.702,285.587,285.664,285.764,285.76,285.741,285.769,285.732,285.741,285.773,285.66,285.771,285.795,285.804,285.785,285.836,285.778,285.805,285.794
